"_id","singkat","hasil"
"513","dngan","dengan"
"514","dnger","dengar"
"516","dngerin","dengarkan"
"520","dngn","dengan"
"523","doang","saja"
"524","doank","saja"
"529","donlot","unduh"
"533","dpet","dapat"
"534","dpn","depan"
"536","dpt","dapat"
"537","dr","dari"
"538","dri","dari"
"541","drmh","di rumah"
"542","drmn","darimana"
"543","drpd","daripada"
"547","dsb","dan sebagainya"
"548","dsini","disini"
"554","dsni","disini"
"557","dst","dan seterusnya"
"560","dtg","datang"
"567","dy","dia"
"568","elo","kamu"
"570","emg","emang"
"571","emng","emang"
"577","engga","tidak"
"580","enk","enak"
"582","entar","nanti"
"633","g","tidak"
"634","ga","tidak"
"635","gaada","tidak ada"
"644","gabisa","tidak bisa"
"646","gaboleh","tidak boleh"
"650","gada","tidak ada"
"659","gaenak","tidak enak"
"668","gajadi","tidak jadi"
"674","gajelas","tidak jelas"
"676","gak","tidak"
"696","gamasuk","tidak masuk"
"697","gamau","tidak mau"
"710","gapake","tidak pakai"
"711","gapapa","tidak apa-apa"
"714","gapernah","tidak pernah"
"729","gasuka","tidak suka"
"731","gatel","gatal"
"735","gausah","tidak usah"
"761","gilak","gila"
"762","gile","gila"
"767","gitu","begitu"
"768","gituan","begituan"
"769","gituh","begitu"
"774","gk","tidak"
"775","gmbr","gambar"
"776","gmn","bagaimana"
"777","gmna","bagaimana"
"779","gnti","ganti"
"786","gpp","tidak-apa-apa"
"788","gr2","gara-gara"
"791","gt","begitu"
"792","gtu","begitu"
"793","gtw","tidak tau"
"794","gua","saya"
"795","gue","saya"
"798","gw","saya"
"813","hbd","selamat ulang tahun"
"814","hbs","habis"
"828","hny","hanya"
"829","hnya","hanya"
"832","hr","hari"
"834","hrg","harga"
"837","hri","hari"
"838","hrs","harus"
"840","hrus","harus"
"857","ilang","hilang"
"869","inget","ingat"
"871","ingt","ingat"
"892","isteri","istri"
"893","istrht","istirahat"
"896","iy","iya"
"940","jatoh","jatuh"
"942","jd","jadi"
"943","jdi","jadi"
"948","jg","juga"
"949","jga","juga"
"951","jgn","jangan"
"956","jk","jika"
"957","jkrt","Jakarta"
"958","jkrta","Jakarta"
"959","jkt","Jakarta"
"960","jl","jalan"
"963","jln","jalan"
"969","jmlh","jumlah"
"973","jmpt","jemput"
"987","jwb","jawab"
"988","jwban","jawaban"
"998","kagak","tidak"
"1002","kalo","kalau"
"1003","kalu","kalau"
"1007","karna","karena"
"1011","kasian","kasihan"
"1016","kayak","seperti"
"1026","kbr","kabar"
"1033","kcil","kecil"
"1114","keknya","kayaknya"
"1125","kelaperan","kelaparan"
"1128","keliatan","kelihatan"
"1163","kenape","kenapa"
"1164","kenceng","cepat"
"1184","kepengen","ingin"
"1217","kesampean","kesampaian"
"1233","kesian","kasihan"
"1247","ketawa","tertawa"
"1269","kga","tidak"
"1270","kgak","tidak"
"1271","kgk","tidak"
"1288","klh","kalah"
"1298","klo","kalau"
"1300","klrg","keluarga"
"1301","kls","kelas"
"1302","klu","kalau"
"1303","kluar","keluar"
"1305","kluarga","keluarga"
"1310","klw","kalau"
"1313","km","kamu"
"1319","kmaren","kemarin"
"1321","kmarin","kemarin"
"1327","kmi","kami"
"1329","kmn","kemana"
"1330","kmna","kemana"
"1339","kmr","kamar"
"1340","kmren","kemarin"
"1342","kmrin","kemarin"
"1344","kmrn","kemarin"
"1346","kmu","kamu"
"1348","kn","kan"
"1349","kna","kena"
"1352","knapa","kenapa"
"1367","knl","kenal"
"1368","knp","kenapa"
"1370","knpa","kenapa"
"1373","kntr","kantor"
"1391","kowe","kamu"
"1394","kpala","kepala"
"1396","kpan","kapan"
"1398","kpd","kepada"
"1403","kpn","kapan"
"1415","kreta","kereta"
"1416","krg","kurang"
"1418","krja","kerja"
"1421","krmh","kerumah"
"1422","krn","karena"
"1423","krna","karena"
"1427","krtu","kartu"
"1435","ksh","kasih"
"1436","ksian","kasihan"
"1443","ksih","kasih"
"1448","ksn","kesana"
"1456","kt","kita"
"1457","kta","kata"
"1461","ktemu","ketemu"
"1471","ktmpt","ketempat"
"1472","ktmu","ketemu"
"1475","ktny","katanya"
"1476","ktnya","katanya"
"1495","kyak","seperti"
"1496","kyaknya","sepertinya"
"1499","kyanya","sepertinya"
"1500","kyk","seperti"
"1508","laen","lain"
"1519","laper","lapar"
"1532","lbh","lebih"
"1533","lbih","lebih"
"1543","lg","lagi"
"1544","lgi","lagi"
"1545","lgsg","langsung"
"1546","lgsng","langsung"
"1547","lgsung","langsung"
"1555","liatin","lihatin"
"1576","lmyn","lumayan"
"1581","lngkp","lengkap"
"1582","lngsg","langsung"
"1583","lngsng","langsung"
"1584","lngsung","langsung"
"1585","lnjt","lanjut"
"1589","lo","kamu"
"1592","loe","kamu"
"1608","lu","kamu"
"1617","lwt","lewat"
"1630","maen","main"
"1649","makasih","terimakasih"
"1651","make","memakai"
"1662","malem","malam"
"1664","malming","malam minggu"
"1668","mane","mana"
"1670","maneh","lagi"
"1703","mantep","mantap"
"1720","masalh","masalah"
"1733","mateng","matang"
"1759","mcm","macam"
"1761","mdg","mending"
"1762","mdh","mudah"
"1837","met","selamat"
"1846","mgkn","mungkin"
"1849","mhn","mohon"
"1850","mhon","mohon"
"1860","mikirin","memikirkan"
"1876","mka","maka"
"1877","mkan","makan"
"1878","mkanya","makanya"
"1881","mkn","makan"
"1882","mknan","makanan"
"1885","mksd","maksud"
"1886","mksdnya","maksudnya"
"1887","mksh","terimakasih"
"1889","mksih","terimakasih"
"1895","mlah","malah"
"1911","mlh","malah"
"1915","mlm","malam"
"1918","mls","malas"
"1928","mmg","memang"
"1938","mn","mana"
"1939","mna","mana"
"1950","mnding","mending"
"1954","mndptkan","mendapatkan"
"1977","mngkin","mungkin"
"1978","mngkn","mungkin"
"1998","mnrt","menurut"
"1999","mnt","minta"
"2000","mnta","minta"
"2010","mnum","minum"
"2020","mo","mau"
"2061","mreka","mereka"
"2062","mrh","marah"
"2069","mrk","mereka"
"2076","msalah","masalah"
"2077","msg","masing"
"2079","msh","masih"
"2080","msih","masih"
"2085","mslah","masalah"
"2087","mslh","masalah"
"2094","msti","mesti"
"2117","mw","mau"
"2122","naek","naik"
"2128","nambah","bertambah"
"2135","nanya","bertanya"
"2138","napa","kenapa"
"2140","nape","kenapa"
"2144","nasgor","nasi goreng"
"2148","ndak","tidak"
"2156","ndk","tidak"
"2165","negri","negeri"
"2180","nemenin","menemani"
"2181","nemu","menemukan"
"2192","nengok","menengok"
"2211","ngadain","mengadakan"
"2223","ngak","tidak"
"2224","ngakak","tertawa"
"2231","ngambil","mengambil"
"2246","nganter","mengantar"
"2247","nganterin","mengantarkan"
"2267","ngarep","berharap"
"2274","ngasi","memberi"
"2275","ngasih","memberi"
"2384","ngeliatin","memperlihatkan"
"2396","ngeluh","mengeluh"
"2422","ngerasa","merasa"
"2423","ngerasain","merasakan"
"2436","ngerjain","mengerjakan"
"2437","ngerokok","merokok"
"2454","ngga","tidak"
"2455","nggak","tidak"
"2467","nggk","tidak"
"2485","ngikutin","mengikuti"
"2487","ngilangin","menghilangkan"
"2493","nginep","menginap"
"2495","ngingetin","mengingatkan"
"2515","ngjk","mengajak"
"2517","ngk","tidak"
"2531","ngmg","ngomong"
"2533","ngmng","ngomong"
"2557","ngomongin","ngomongin"
"2621","nmpk","tampak"
"2622","nmr","nomor"
"2629","nnton","nonton"
"2631","no","nomor"
"2632","nolak","menolak"
"2635","nomer","nomor"
"2645","ntar","nanti"
"2646","nti","nanti"
"2649","ntn","nonton"
"2650","nton","nonton"
"2651","ntr","nanti"
"2655","nyampe","sampai"
"2663","nyesek","bikin sesak"
"2664","nyesel","menyesal"
"2689","org","orang"
"2690","org2","orang-orang"
"2696","orng","orang"
"2711","pake","pakai"
"2713","pakek","pakai"
"2725","pcr","[acar"
"2728","pcrn","pacaran"
"2732","pdahal","padahal"
"2733","pdhal","padahal"
"2735","pdhl","padahal"
"2737","pedes","pedas"
"2739","pegi","pergi"
"2756","pemprov","pemerintah provinsi"
"2786","pesen","pesan"
"2789","pg","pagi"
"2792","pgen","ingin"
"2798","pgn","ingin"
"2801","phk","pihak"
"2810","pingin","ingin"
"2811","pinjem","pinjam"
"2815","pinter","pintar"
"2822","pkai","pakai"
"2823","pke","pakai"
"2837","plg","pulang"
"2844","plis","*memohon"
"2846","plng","pulang"
"2862","pndh","pindah"
"2878","pngen","ingin"
"2893","pngn","ingin"
"2908","pnting","penting"
"2909","pntng","penting"
"2914","pny","punya"
"2915","pnya","punya"
"2935","prasaan","perasaan"
"2948","prgi","pergi"
"2960","prnah","pernah"
"2962","prnh","pernah"
"2985","psti","pasti"
"3016","qt","kita"
"3017","qta","kita"
"3022","rame","ramai"
"3023","rame2","ramai-ramai"
"3051","rmh","rumah"
"3070","sampe","sampai"
"3081","sape","siapa"
"3098","sbelum","sebelum"
"3103","sbg","sebagai"
"3104","sbgai","sebagai"
"3109","sblh","sebelah"
"3110","sblm","sebelum"
"3111","sblmnya","sebelumnya"
"3113","sblum","sebelum"
"3121","sbr","sabar"
"3125","sbtr","sebentar"
"3139","scr","secara"
"3141","sdah","sudah"
"3144","sdg","sedang"
"3145","sdh","sudah"
"3147","sdikit","sedikit"
"3151","sdng","sedang"
"3157","seblm","sebelum"
"3172","sekola","sekolah"
"3176","selow","santai"
"3182","senen","senin"
"3183","seneng","senang"
"3188","sgala","segala"
"3190","sgera","segera"
"3194","sgt","sangat"
"3208","sja","saja"
"3210","skali","sekali"
"3212","skalian","sekalian"
"3217","skit","sakit"
"3218","skitar","sekitar"
"3220","sklh","sekolah"
"3221","skola","sekolah"
"3222","skolah","sekolah"
"3223","skrg","sekarang"
"3224","skrng","sekarang"
"3227","slalu","selalu"
"3228","slama","selama"
"3229","slamat","selamat"
"3233","slesai","selesai"
"3235","slh","salah"
"3237","slhkn","silahkan"
"3239","slmt","selamat"
"3246","sm","sama"
"3247","smbg","sombong"
"3248","smbhyg","sembahyang"
"3249","smbil","sambil"
"3250","smbl","sambil"
"3252","smbuh","sembuh"
"3255","smcm","semacam"
"3256","smg","semoga"
"3257","smga","semoga"
"3259","smgt","semangat"
"3262","smlm","semalam"
"3263","smoga","semoga"
"3265","smpai","sampai"
"3268","smpe","sampai"
"3274","smua","semua"
"3278","sndiri","sendiri"
"3287","sngt","sangat"
"3291","sodara","saudara"
"3297","sory","maaf"
"3299","sprt","seperti"
"3300","sprti","seperti"
"3302","spt","seperti"
"3304","sptny","sepertinya"
"3309","spy","supaya"
"3313","srg","sering"
"3315","sring","sering"
"3325","stgh","setengah"
"3327","stiap","setiap"
"3332","stlh","setelah"
"3334","stngh","setengah"
"3348","sy","saya"
"3349","sya","saya"
"3350","syg","sayang"
"3399","td","tadi"
"3401","tdak","tidak"
"3402","tdi","tadi"
"3405","tdk","tidak"
"3417","telpon","telepon"
"3426","tetep","tetap"
"3435","tggl","tanggal"
"3436","tggu","tunggu"
"3440","tgl","tanggal"
"3441","tgn","tangan"
"3442","tgs","tugas"
"3443","thanks","terimakasih"
"3446","thn","tahun"
"3447","thx","terimakasih"
"3467","tkut","takut"
"3472","tlg","tolong"
"3473","tlh","telah"
"3474","tlng","tolong"
"3475","tlong","tolong"
"3477","tlp","telepon"
"3478","tlpn","telepon"
"3481","tmbah","tambah"
"3483","tmbh","tambah"
"3486","tmen","teman"
"3489","tmn","teman"
"3493","tmpat","tempat"
"3496","tmpt","tempat"
"3497","tmsk","termasuk"
"3508","tnggal","tinggal"
"3522","tnpa","tanpa"
"3524","tny","tanya"
"3525","tnya","tanya"
"3529","tnyt","ternyata"
"3533","tp","tetapi"
"3534","tpi","tapi"
"3535","tpt","tepat"
"3536","tq","terimakasih"
"3554","trjd","terjadi"
"3560","trlalu","terlalu"
"3565","trm","terima"
"3570","trmsk","termasuk"
"3573","trnyata","ternyata"
"3574","trnyt","ternyata"
"3577","trs","terus"
"3581","trus","terus"
"3587","tsb","tersebut"
"3589","ttapi","tetapi"
"3590","ttd","tanda tangan"
"3594","tu","itu"
"3599","tukeran","bertukar"
"3618","ud","sudah"
"3619","uda","sudah"
"3620","udah","sudah"
"3622","udeh","sudah"
"3623","udh","sudah"
"3635","utk","untuk"
"3643","waduh","aduh"
"3667","wkt","waktu"
"3668","wktu","waktu"
"3691","yaudh","ya sudah"
"3704","yg","yang"
"3705","yng","yang"
"3717","ywdh","ya sudah"
"3723","abis","habis"
"3724","ad","ada"
"3755","aj","saja"
"3756","aja","saja"
"3757","ajah","saja"
"3759","aje","saja"
"3761","ak","aku"
"3798","aku","saya"
"3830","almt","alamat"
"3841","alsn","alasan"
"3858","ampe","sampai"
"3860","ancur","hancur"
"3861","ane","saya"
"3862","anget","hangat"
"3866","ancur","hancur"
"3951","aq","saya"
"3974","atu","atau"
"3975","atw","atau"
"4013","bales","balas"
"4027","bdg","bandung"
"4031","bego","bodoh"
"4048","bgm","bagaimana"
"4049","bgmn","bagaimana"
"4050","bgn","bangun"
"4051","bgt","sangat"
"4052","bgtu","begitu"
"4055","bhs","bahas"
"4065","bkn","bukan"
"4070","blg","bilang"
"4075","blk","balik"
"4080","blm","belum"
"4081","bln","bulan"
"4082","blng","bilang"
"4084","blom","belum"
"4085","bls","balas"
"4086","blum","belum"
"4089","bner","benar"
"4096","bnr","benar"
"4098","bnrn","benar"
"4100","bntr","sebentar"
"4102","bnyk","banyak"
"4106","bokap","ayah"
"4107","bole","boleh"
"4108","boong","bohong"
"4110","bpk","bapak"
"4118","brg","barang"
"4126","brp","berapa"
"4127","brpa","berapa"
"4135","bru","baru"
"4136","bs","bisa"
"4137","bsa","bisa"
"4138","bsk","besok"
"4139","bsok","besok"
"4140","bsr","besar"
"4142","bth","butuh"
"4144","btul","betul"
"4147","bw","bawa"
"4148","bwa","bawa"
"4149","bwh","bawah"
"4150","bwt","buat"
"4151","byk","banyak"
"4153","byr","bayar"
"4155","cape","capai"
"4157","cb","coba"
"4158","cepet","cepat"
"4159","cewe","cewek"
"4168","cowo","cowok"
"4171","cpt","cepat"
"4174","crt","cerita"
"4176","cuman","hanya"
"4179","cwo","cowok"
"4181","dah","sudah"
"4186","dateng","datang"
"4189","dbls","dibalas"
"4194","dg","dengan"
"4196","dgn","dengan"
"4197","dgr","dengar"
"4198","dksh","dikasih"
"4199","dkt","dekat"
"4200","dl","dulu"
"4201","dlm","dalam"
"4203","dlu","dulu"
"4204","dluan","duluan"
"4205","dmana","dimana"
"4207","dmn","dimana"
"4208","dmna","dimana"
"4211","dn","dan"
"4212","dng","dengan"
"4213","dngan","dengan"
"4215","dnger","dengar"
"4216","dngerin","dengar"
"4217","dngn","dengan"
"4219","doang","saja"
"4220","doank","saja"
"4221","donlot","download"
"4224","dpet","dapat"
"4227","dpn","depan"
"4228","dtg","datang"
"4231","elo","kamu"
"4235","emg","memang"
"4236","emng","memang"
"4237","engga","tidak"
"4239","enk","enak"
"4240","entar","nanti"
"4244","g","tidak"
"4245","ga","tidak"
"4249","gilak","gila"
"4250","gile","gila"
"4251","gitu","begitu"
"4252","gituan","begitu"
"4253","gituh","begitu"
"4254","gk","tidak"
"4256","gmbr","gambar"
"4257","gmn","bagaimana"
"4258","gmna","bagaimana"
"4262","gt","begitu"
"4263","gtu","begitu"
"4264","hbs","habis"
"4270","hny","hanya"
"4271","hnya","hanya"
"4272","hr","hari"
"4274","hrg","harga"
"4276","hri","hari"
"4278","hrs","harus"
"4280","hrus","harus"
"4285","ilang","hilang"
"4286","inget","ingat"
"4288","ingt","ingat"
"4289","isteri","istri"
"4290","istrht","istirahat"
"4294","iy","iya"
"4297","jatoh","jatuh"
"4298","jd","jadi"
"4299","jdi","jadi"
"4304","jg","juga"
"4305","jga","juga"
"4308","jgn","jangan"
"4310","jk","jika"
"4311","jkrt","jakarta"
"4312","jkrta","jakarta"
"4314","jkt","jakarta"
"4315","jl","jalan"
"4316","jln","jalan"
"4320","jmlh","jumlah"
"4321","jmpt","jemput"
"4330","jwb","jawab"
"4331","jwban","jawab"
"4335","kagak","tidak"
"4337","kalo","kalau"
"4338","kalu","kalau"
"4340","karna","karena"
"4342","kasian","kasihan"
"4344","kayak","mirip"
"4347","kbr","kabar"
"4350","kcil","kecil"
"4355","keknya","sepertinya"
"4357","kelaperan","kelaparan"
"4359","keliatan","kelihatan"
"4360","kenceng","kencang"
"4361","kepengen","ingin"
"4363","kesampean","kesampaian"
"4365","kesian","kasihan"
"4366","ketawa","tertawa"
"4368","kga","tidak"
"4369","kgak","tidak"
"4370","kgk","tidak"
"4377","klh","kalah"
"4380","klo","kalau"
"4382","klrg","keluarga"
"4383","kls","kelas"
"4384","klu","kalau"
"4385","kluar","keluar"
"4387","kluarga","keluarga"
"4392","klw","kalau"
"4393","km","kamu"
"4394","kmaren","kemarin"
"4395","kmarin","kemarin"
"4396","kmi","kami"
"4397","kmn","kemana"
"4398","kmna","kemana"
"4401","kmr","kamar"
"4402","kmr","kemarin"
"4403","kmren","kemarin"
"4404","kmrin","kemarin"
"4405","kmrn","kemarin"
"4406","kmu","kamu"
"4407","kn","kan"
"4408","kna","kena"
"4409","knapa","kenapa"
"4410","knl","kenal"
"4411","knp","kenapa"
"4412","knpa","kenapa"
"4413","kntr","kantor"
"4420","kowe","kamu"
"4422","kpala","kepala"
"4423","kpan","kapan"
"4424","kpd","kepada"
"4428","kpn","kapan"
"4431","kreta","kereta"
"4432","krn","karena"
"4433","krna","karena"
"4438","krtu","kartu"
"4439","ksh","kasih"
"4440","ksian","kasihan"
"4441","ksih","kasih"
"4443","ksn","kesana"
"4444","kt","kita"
"4445","kta","kita"
"4447","ktny","katanya"
"4448","ktnya","katanya"
"4452","kyak","seperti"
"4453","kyaknya","sepertinya"
"4454","kyanya","sepertinya"
"4455","kyk","seperti"
"4456","laen","lain"
"4459","laper","lapar"
"4461","lbh","lebih"
"4462","lbih","lebih"
"4464","lg","lagi"
"4465","lgi","lagi"
"4468","lgsg","langsung"
"4469","lgsng","langsung"
"4470","lgsung","langsung"
"4471","liatin","lihat"
"4473","lmyn","lumayan"
"4474","lngkp","lengkap"
"4475","lngsg","langsung"
"4476","lngsng","langsung"
"4477","lngsung","langsung"
"4478","lnjt","lanjut"
"4481","lo","kamu"
"4482","loe","kamu"
"4486","lu","kamu"
"4488","lwt","lewat"
"4490","malem","malam"
"4493","mane","mana"
"4494","maneh","mana"
"4497","mantep","mantap"
"4499","masalh","masalah"
"4503","mateng","matang"
"4505","mdh","mudah"
"4508","met","selamat"
"4510","mgkn","mungkin"
"4511","mhon","mohon"
"4512","mhn","mohon"
"4515","mikirin","memikirkan"
"4520","mka","maka"
"4521","mkan","makan"
"4523","mkanya","makanya"
"4524","mkn","makan"
"4526","mksdnya","maksudnya"
"4528","mlh","malah"
"4529","mlm","malam"
"4530","mls","malas"
"4531","mmg","memang"
"4532","mn","mana"
"4533","mna","mana"
"4540","mndptkan","mendapatkan"
"4542","mngkin","mungkin"
"4543","mngkn","mungkin"
"4544","mnrt","menurut"
"4545","mnt","minta"
"4546","mnta","minta"
"4548","mnum","minum"
"4550","mo","mau"
"4553","mreka","mereka"
"4554","mrh","marah"
"4555","mrk","mereka"
"4556","msalah","masalah"
"4558","msg","masing"
"4559","msh","masih"
"4560","msih","masih"
"4565","mslh","masalah"
"4566","mslah","masalah"
"4567","msti","harus"
"4572","mw","mau"
"4574","naek","naik"
"4576","nambah","tambah"
"4577","nanya","tanya"
"4578","napa","kenapa"
"4579","ndak","tidak"
"4580","ndk","tidak"
"4581","negri","negeri"
"4583","nemenin","menemani"
"4584","nemu","temu"
"4585","nengok","tengok"
"4586","ngadain","mengadakan"
"4589","ngak","tidak"
"4590","ngakak","terbahak-bahak"
"4592","ngambil","ambil"
"4593","nganter","antar"
"4594","nganterin","antar"
"4595","ngarep","mengharap"
"4596","ngasi","kasih"
"4597","ngasih","kasih"
"4599","ngeliatin","melihat"
"4600","ngeluh","keluh"
"4601","ngerasa","merasa"
"4602","ngerasain","merasakan"
"4603","ngerjain","mengerjakan"
"4604","ngerokok","merokok"
"4606","ngga","tidak"
"4607","nggak","tidak"
"4608","nggk","tidak"
"4610","ngikutin","ikuti"
"4611","ngilangin","menghilangkan"
"4612","nginep","menginap"
"4613","ngingetin","mengingatkan"
"4614","ngjk","mengajak"
"4615","ngk","tidak"
"4617","ngmg","omong"
"4620","ngomongin","membicarakan"
"4626","nmpk","nampak"
"4627","nmr","nomor"
"4630","nnton","nonton"
"4631","no","nomor"
"4632","nomer","nomor"
"4633","nolak","tolak"
"4636","ntar","nanti"
"4637","nti","nanti"
"4638","ntn","nonton"
"4639","nton","nonton"
"4640","ntr","nanti"
"4646","nyampe","sampai"
"4651","nyesek","sesak"
"4652","nyesel","menyesal"
"4663","org","orang"
"4664","org2","orang-orang"
"4665","orng","orang"
"4670","pake","pakai"
"4671","pakek","pakai"
"4673","pcr","pacar"
"4674","pcrn","pacaran"
"4677","pdahal","padahal"
"4678","pdhal","padahal"
"4679","pdhl","padahal"
"4680","pedes","pedas"
"4682","pesen","pesan"
"4683","pg","pergi"
"4684","pgen","ingin"
"4685","pgn","ingin"
"4686","phk","pihak"
"4690","pingin","ingin"
"4691","pinjem","pinjam"
"4692","pinter","pintar"
"4693","pkai","pakai"
"4694","pke","pakai"
"4695","plg","pulang"
"4696","plis","tolong"
"4699","plng","pulang"
"4700","pndh","pindah"
"4701","pngen","ingin"
"4702","pngn","ingin"
"4704","pnting","penting"
"4705","pntng","penting"
"4706","pny","punya"
"4707","pnya","punya"
"4710","prasaan","perasaan"
"4711","prgi","pergi"
"4714","prnah","pernah"
"4715","prnh","pernah"
"4722","psti","pasti"
"4727","qt","kita"
"4728","qta","kita"
"4730","rame","ramai"
"4731","rame2","ramai-ramai"
"4733","rmh","rumah"
"4740","sampe","sampai"
"4741","sape","siapa"
"4743","sbelum","sebelum"
"4744","sbg","sebagai"
"4745","sbgai","sebagai"
"4747","sblh","sebelah"
"4749","sblm","sebelum"
"4751","sblmnya","sebelumnya"
"4752","sblum","sebelum"
"4755","sbr","sabar"
"4756","sbtr","sebentar"
"4757","scr","secara"
"4758","sdah","sudah"
"4760","sdg","sedang"
"4762","sdh","sudah"
"4763","sdikit","sedikit"
"4764","sdng","sedang"
"4769","seblm","sebelum"
"4771","sekola","sekolah"
"4774","selow","sebentar"
"4777","senen","senin"
"4778","seneng","senang"
"4781","sgala","segala"
"4783","sgera","segera"
"4785","sgt","sangat"
"4788","sja","saja"
"4789","skali","sekali"
"4790","skalian","sekalian"
"4791","skit","sakit"
"4792","skitar","sekitar"
"4794","sklh","sekolah"
"4795","skola","sekolah"
"4796","skolah","sekolah"
"4799","skrg","sekarang"
"4800","skrng","sekarang"
"4805","slalu","selalu"
"4806","slama","selama"
"4807","slamat","selamat"
"4809","slesai","selesai"
"4811","slh","salah"
"4812","slhkn","salahkan"
"4816","slmt","selamat"
"4818","sm","sama"
"4820","smbg","sambung"
"4822","smbhyg","sembahyang"
"4823","smbil","sambil"
"4824","smbl","sambil"
"4827","smbuh","sembuh"
"4828","smcm","semacam"
"4829","smg","semoga"
"4830","smga","semoga"
"4831","smgt","semangat"
"4832","smlm","semalam"
"4836","smoga","semoga"
"4837","smpai","sampai"
"4838","smpe","sampai"
"4840","smua","semua"
"4842","sndiri","sendiri"
"4844","sngt","sangat"
"4847","sodara","saudara"
"4850","sory","maaf"
"4854","sprt","seperti"
"4855","sprti","seperti"
"4857","spt","seperti"
"4858","sptny","sepertinya"
"4859","spy","supaya"
"4860","srg","sering"
"4861","sring","sering"
"4864","stgh","setengah"
"4865","stiap","setiap"
"4866","stlh","setelah"
"4867","stngh","setengah"
"4869","sy","saya"
"4870","sya","saya"
"4871","syg","sayang"
"4875","tggl","tanggal"
"4879","td","tadu"
"4880","tdak","tidak"
"4881","tdi","tadi"
"4882","tdk","tidak"
"4887","telpon","telepon"
"4891","tetep","tetap"
"4892","tggu","tunggu"
"4894","tgl","tanggal"
"4895","tgn","tangan"
"4896","tgs","tugas"
"4897","tlg","tolong"
"4898","tlh","telah"
"4899","tlng","tolong"
"4900","tlong","tolong"
"4901","tlp","telepon"
"4902","tlpn","telepon"
"4903","tmbah","tambah"
"4904","tmbh","tambah"
"4905","tmen","teman"
"4906","tmn","teman"
"4907","tmpat","tempat"
"4908","tmpt","tempat"
"4909","tmsk","termasuk"
"4910","tnggal","tanggal"
"4911","tnpa","tanpa"
"4912","tny","ternyata"
"4913","tnya","tanya"
"4914","tnyt","ternyata"
"4917","tp","tetapi"
"4923","trjd","terjadi"
"4925","trlalu","terlalu"
"4927","trmsk","termasuk"
"4930","trnyata","ternyata"
"4931","trnyt","ternyata"
"4932","trs","terus"
"4936","trus","terus"
"4937","tsb","tersebut"
"4939","ttapi","tetapi"
"4940","ttd","tertanda"
"4944","tu","itu"
"4946","ud","sudah"
"4947","uda","sudah"
"4948","udah","sudah"
"4949","udeh","sudah"
"4950","udh","sudah"
"4954","utk","untuk"
"4955","waduh","aduh"
"4956","wkt","waktu"
"4957","wktu","waktu"
"4969","adilterima"," adil terima"
"4970","adkan","adakan"
"4971","adkny","adiknya"
"4978","adilterima","adil terima"
"4979","adkan","adakan"
"4980","adkny","adiknya"
"5014","djkt","di jakarta"
"5016","djln","di jalan"
"5020","dkmps","di kampus"
"5021","dll","dan lain lain"
"5024","drmh","di rumah"
"5025","dsb","dan sebagainya"
"5028","dst","dan seterusnya"
"5029","dsni","di sini"
"5031","gaada","tidak ada"
